id;Название;Реставрация;Размер;Автор;Материал;Персоналии;Уточняющая датировка;Век;Страна;Место хранения;Иконография;Тип изображения;Фрагменты
1;Азовская с предстоящими;False;None;None;Дерево, левкас, темпера;Саваоф, Спаситель, Богоматерь, ангелы, ап. Петр, преподобные Антоний, Феодосий и Алипий Печерские, Моисей Угрин, Прохор, Марк, конные и пешие воины;начало;18;Россия;Государственный Исторический музей, Москва;Богоматерь;Ростовое с клеймами;Азов, Кази-Кермен
3;Аристократуса;False;57,5 х 43 см;None;Дерево, темпера;Младенец Христос, Богородица;вторая половина;13;Византия;Афон, монастырь Ватопед;Богоматерь;Поясное;Богоматерь (Аристократуса), Богоматерь (Аристократуса), Младенец Христос (Аристократуса)
4;Ахтырская;False;123 х 90 см;None;Дерево, темпера;Спаситель, Богородица;Первая четверть;19;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Поясное;None
5;Ахтырская;True;33 x 28 см;None;Дерево, левкас, темпера;Спаситель, Богородица, архангел Михаил, первомученик Стефан, Николай Чудотворец, преподобная Евдокия;конец;18;Россия;Частное собрание М.Б. Миндлина;Богоматерь;Поясное с клеймами;None
6;Белозерская;True;155,5 х 106,3 см;None;Дерево, темпера;Спаситель, Богородица, ангелы, Иоанн Предтеча, прор.Аарон, прор. Исайя, прор.Давид, прор. Иезекииль, прор. Илия, прор. Иеремия, прор. Самуил (?), прор. Нафан, прор.Елисей, три святые жены;первая половина;13;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Поясное с клеймами;"Спаситель (Белозерская), Спаситель и Богоматерь (Белозерская), Спаситель (""Белозерская"" икона Богоматери)"
11;Боголюбская (левая створка трехстворчатого складня);True;22,6 х 17,8 см;None;Дерево, левкас, темпера;Богородица, ангел хранитель, свт. Николай Чудотворец, свт. Лев, папа Римский;около 1693 г.;17;Россия;Сольвычегодский историко-художественный музей;Богоматерь;Многофигурное;None
12;Боголюбская с припадающими святителем Алексием Московским и преподобным Петром Афонским;False;110,3 х 78,8 см;None;Дерево, левкас, темпера;None;конец;17;Россия;Частное собрание Игоря Возякова;Богоматерь;Ростовое;None
13;Боголюбская;False;None;None;Дерево, левкас, темпера;Спаситель, Богоматерь, молящиеся;None;16;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Ростовое;None
14;Боголюбская;True;185 х 105 см;None;Дерево, темпера;Богородица, Спаситель, Иоанн Предтеча, архангелы;третья четверть;12;Россия;Успенский собор во Владимире;Богоматерь;Ростовое;None
15;Боголюбская;True;184,8 х 111 см;None;Дерево, темпера, металл, басма, золочение;Богородица, Спаситель, Иоанн Предтеча, архангелы;вторая половина;16;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;Богоматерь (Боголюбская)
16;Боголюбская;False;93,0 х 52,0 см;None;Дерево, темпера;Богоматерь, преподобный Алексий, человек Божий, святитель Нифонт, преподобный Илларион Новый (Далматский);середина;17;Россия;Храм Воскресения на Дебре в Костроме;Богоматерь;Ростовое;None
19;Боголюбская, в молении ростовских чудотворцев;True;53,2 х 38,6 см;None;Дерево, темпера;Богоматерь, Спаситель, святители ростовские;конец;17;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Ростовое;None
22;Боголюбская, с припадающим святым князем Андреем Боголюбским;True;31 х 26 см;None;Дерево, темпера;Спаситель, Богоматерь, благоверный князь Андрей Боголюбский;первая четверть;18;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Сюжетная композиция;Андрей Боголюбский
23;Богоматерь (из Благовещения);True;11,3 х 12 см;None;Дерево, темпера;Богородица;около 1502 г.;16;Россия;Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;None
24;Богоматерь (из Благовещения);False;111 х 67,5 см;None;Дерево, темпера;Богородица;1108 - 1120 гг.;12;Греция;Галерея икон, Охрид;Богоматерь;Тронное;None
25;Богоматерь (из Благовещения);True;33 х 26 см;None;Дерево, темпера;Богородица, служанка;начало;16;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Сюжетная композиция;None
26;Богоматерь (из Благовещения);True;40,4 х 47,5 см;None;Дерево, темпера;Богородица;вторая четверть;16;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Ростовое;None
27;Богоматерь (из деисусного чина) и Преображение;False;123 х 34 см;None;Дерево, темпера;Богородица;середина;16;Россия;Псковский государственный объединенный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое и сюжетная композиция;None
