id;Название;Реставрация;Размер;Автор;Материал;Персоналии;Уточняющая датировка;Век;Страна;Место хранения;Иконография;Тип изображения;Фрагменты
2;Акафистная;False;92 x 71 см;Иван Григорьев Марков (?);Дерево, темпера;Спаситель, Богоматерь;первая четверть;18;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Многофигурное;Богоматерь с Младенцем (Акафистная)
7;Благодатное Небо;True;165,0 х 59,0 см;Патракеев Филипп;Дерево;Спаситель, Богоматерь;1794 г.;18;Россия;"Музей-заповедник ""Щелыково""";Богоматерь;Ростовое;None
8;Благодатное Небо;False;123,5 x 52,5 см;Иван Казаринов;Дерево, темпера;Спаситель, Богоматерь;1741 г.;18;Россия;Пермская государственная художественная галерея;Богоматерь;Ростовое;None
9;"Блаженное Чрево (""Барловская"")";True;31 х 27 см;Иван Авксентиев;Дерево, темпера, серебро, чеканка, канфарение, чернь, золочение;Спаситель, Богоматерь;1664 г.;17;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;Спаситель (Блаженное Чрево)
10;Блаженное Чрево;False;31 x 26,5 см;Трофим Дорохов;Дерево, темпера;Спаситель, Богоматерь;1799 г.;18;Россия;Государственный музей истории религии, Санкт-Петербург;Богоматерь;Поясное;None
17;Боголюбская;False;88 х 54 см;Василий Иванов Уланов;Дерево, темпера;Спаситель, Богоматерь, Иоанн Предтеча, ангелы;1712 г.;18;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
20;Боголюбская, с избранными святыми;False;35,9 х 29,8 см;Семен Бороздин;Дерево, темпера;Спаситель, Богородица, ангелы, избранные святые;16 - 17 вв. ;16;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Ростовое;None
21;Боголюбская, с избранными святыми;False;35 x 15 см (створы ), 35 x 30 см (средник );Истома Савин;Дерево, левкас, темпера;Спаситель, Богородица, святые;начало;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
34;Богоматерь (из деисусного чина);False;210 х 109 см;Феофан Грек (?);Дерево, темпера;Богородица;последняя четверть;14;Россия;Благовещенский собор Московского Кремля;Богоматерь;Ростовое;Богоматерь (из деисусного чина)
45;Богоматерь (из деисусного чина);True;235 х 100 см;Мастер Аарон, Феофанов (?) сын;Дерево, темпера, серебро, басма, золочение, оброн, эмаль,;Богоматерь;1438 г.;15;Россия;Софийский собор, Новгород;Богоматерь;Ростовое;None
50;Богоматерь (из деисусного чина);True;155 x 62 см;Дионисий;Дерево, левкас, темпера;Богородица;около 1502 г.;16;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
57;Богоматерь (из деисусного чина);True;139 х 45 см;Круг Федора Трофимова;Дерево, левкас, темпера;Богородица;1590 - 1599 гг.;16;Россия;"Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник ""Коломенское""";Богоматерь;Ростовое;Богоматерь (из деисусного чина)
61;"Богоматерь (из композиции "" Распятие "")";False;51 х 26,5 см;Онуфрий из Аргоса;Дерево, темпера;Богородица;середина;16;Македония;Митрополия в Битоле;Богоматерь;Ростовое;None
76;Богоматерь с Младенцем (на престоле);True;214 х 142 см;Артемий Катунец;Дерево, темпера, серебро, чеканка, золочение;Младенец-Христос, Богородица;1688 г.;17;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Тронное;None
77;Богоматерь с Младенцем (на престоле);False;114,5 х 49,7 см;Критская школа;Дерево, темпера;Младенец-Христос, Богородица, ангелы;15 - 16 вв.;15;Греция;Афон, монастырь Пантократор;Богоматерь;Тронное;None
79;Богоматерь с Младенцем (на престоле);True;151 х 108 см;Андрей Лаврентьев, Иван Дерма Ярцев;Дерево, темпера, серебро, басма, золочение, оброн, эмаль;Богоматерь с Младенцем;1509 г.;16;Россия;Софийский собор, Новгород;Богоматерь;Ростовое;None
80;Богоматерь с Младенцем (на престоле);False;173 х 100 см;Иван и Афанасий Шустовы;Дерево, темпера;Спаситель, Богоматерь, ангелы;1747 г.;18;Россия;Государственный историко-архитектурный и художественный музей-заповедник «Новый Иерусалим»;Богоматерь;Сюжетная композиция;None
86;Богоматерь с Младенцем (на престоле);True;142,4 х 70,6 см;Богдан Соболев;Дерево, левкас, темпера;Спаситель, Богородица;1609 г.;17;Россия;Сольвычегодский историко-художественный музей;Богоматерь;Тронное;None
88;Богоматерь с Младенцем (на престоле);False;106 х 66 см;Эммануил Тзанес;Дерево, левкас, темпера;Спаситель, Богоматерь;1664 г.;17;Греция;Византийский и христианский музей, Афины;Богоматерь;Тронное;None
94;Богоматерь с Младенцем (на престоле, с предстоящими Давидом и Соломоном);False;60,8 х 60,9 см;Новгородский мастер (?);Дерево, паволока, левкас, серебро, басма, темпера, скань;Спаситель, Богоматерь, проров давид, пророк Соломон;1560 - 1570 гг.;16;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Богоматерь;Ростовое;Соломон пророк
108;Богоматерь с Младенцем;False;209,5 x 91 см;Мина Лукич Колокольников I?);Дерево, масло;Спаситель, Богоматерь, ангелы;середина;18;Россия;Санкт-Петербургская епархия;Богоматерь;Ростовое;None
109;Богоматерь с Младенцем;False;31,5 х 25,9 см;Афанасий Васильев;Дерево, масло;Спаситель, Богоматерь;1766 г.;18;Россия;Частное собрание;Богоматерь;Поясное;None
111;Богоматерь с Младенцем;False;71,5 х 34,5 см;Иван Кендерский;Дерево, масло;Спаситель, Богоматерь, ангелы;1781 г.;18;Россия;Частное собрание;Богоматерь;Ростовое;None
112;Богоматерь с Младенцем;False;116 x 70 см;Иван Иванов Богданов-Карбатовский, Иван Васильев Минин;Дерево, темпера;Спаситель, Богоматерь;1776 г.;18;Россия;Музей икон Пресвятой Богородицы;Богоматерь;Ростовое;None
122;Богоматерь с Младенцем;False;121 х 96,5 см;Ангелос Акотантос;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;середина;15;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;Спаситель и Богоматерь, Гиматий и ножки Спасителя
133;Вертоград Заключенный;False;33 х 29 см;Никита Павловец;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;около 1670 г.;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
143;Владимирская (Древо Государства Российского);False;105 х 62 см;Симон Ушаков;Дерево, левкас, темпера;Спаситель, Богородица;1668 г.;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное с клеймами;Спаситель и Богоматерь (Владимирская), Иоанн, Василий и Максим блаженные, Ангел, Ангел, Преподобные Сергий Радонежский и Никон Радонежский, благоверный князь Александр Невский, Митрополиты Иона, Киприан, Алексий, Митрополит Петр и благоверный князь Иоанн Данилович (Иван Калита), Царевич Дмитрий Углический, цари Феодор Иоаннович и Михаил Федорович, патриархи Филарет, Царь Алексей Михайлович за кремлевскими стенами слева от Спасской башни, Царица Мария Ильинична с царевичами у Никольской башни, Спаситель (Древо Государства Российского)
144;Владимирская (на обороте Голгофский Крест);True;104 х 70 см;Симон Ушаков;Дерево, темпера;Младенец-Христос, Богородица;1652 г.;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;Спаситель и Богоматерь (Владимирская)
149;Владимирская с избранными святыми;True;105 х 70 см;Симон Ушаков;Дерево, темпера;Спаситель, Богоматерь, архангел Михаил, архангел Гавриил, святитель Силуан, святитель Андрей Критский, архидиакон Стефан, преподобный Пимен, мученик Феодор Тирон, преподобная Мария Египетская, прпеподобная Феврония Муромская;1660 г.;17;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное с клеймами;Спаситель и Богоматерь (Владимирская), Андрей Критский, Мария Египетская
152;Владимирская с избранными святыми;True;74 x 62,5;Борис Деомидов;Дерево, левкас, темпера;Спаситель, Богородица, св. Симеон Богоприимец, св. Алексей Человек Божий, прав. Прокопий Устюжский, св. Иоанн Устюжский, вмч. Екатерина, преп. Феодора;1707 г.;18;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Многофигурное;Спаситель и Богоматерь (Владимирская)
155;Владимирская с праздниками и избранными святыми;False;31 х 27,5 (средник), 30,5 х 12,5 (створки) см;Царские изографы (?);Дерево, темпера;Младенец-Христос, Богородица, митрополиты Петр, Алексий, Иона архидьякон Стефан.;начало;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
156;Владимирская с праздниками и избранными святыми;False;Средник 44 x 41, створы 44 x 20;Прокопий Чирин;Дерево, левкас, темпера;Спаситель, Богородица;начало;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Многофигурное;None
163;Владимирская со сценами сказания;True;103,0 х 83,0 см;Уланов Кирилл (Корнилий) Иванов;Дерево, темпера;Спаситель, Богоматерь;1717 г.;18;Россия;Переславль-Залесский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное с клеймами;None
164;Владимирская со сценами сказания;True;115 х 84;Истома Савин;Дерево, левкас, темпера;Спаситель, Богородица ( ИСВ № 73 );1580 - 1590 гг.;16;Россия;Пермская государственная художественная галерея;Богоматерь;Многофигурное;None
